Type de bien,Price,Address,Surface,Nombre de chambres,Nombre de toilettes
L/C,2400000.0,Centre,115,2.0,1.0
Villa,3500000.0,Achakar,215,4.0,3.0
L/C,1950000.0,Centre,180,2.0,1.0
Bureau,2085000.0,Centre,139,2.0,1.0
L/C,1700000.0,Tanja Balia,103,2.0,1.0
Villa,1490000.0,Tanja Balia,220,4.0,3.0
Bureau,1000000.0,Centre,76,1.0,1.0
Appartement,550000.0,Val Fleuri,70,2.0,1.0
Bureau,996000.0,Centre,83,1.0,1.0
Appartement,2800000.0,Branes 1,116,4.0,3.0
L/C,4000000.0,Centre,94,1.0,1.0
L/C,3500000.0,Centre,149,2.0,1.0
Appartement,3600000.0,Val Fleuri,100,4.0,3.0
Appartement,2900000.0,Mghogha,100,3.0,1.0
L/C,550000.0,Centre,50,1.0,1.0
Bureau,1070000.0,Centre,80,1.0,1.0
L/C,600000.0,Centre,30,1.0,1.0
L/C,400000.0,Tanja Balia,21,1.0,1.0
L/C,690000.0,Mesnana,32,1.0,1.0
Appartement,3400000.0,Rmilat,148,2.0,1.0
L/C,1070000.0,Mesnana,72,1.0,1.0
Appartement,2100000.0,Marchane,210,4.0,2.0
Appartement,850000.0,Marchane,60,4.0,2.0
Appartement,1750000.0,Charf,172,4.0,3.0
Appartement,650000.0,Casabarata,50,2.0,1.0
L/C,2500000.0,Centre,125,2.0,2.0
Bureau,680000.0,Iberie,44,1.0,1.0
Appartement,2200000.0,Centre,55,1.0,1.0
Villa,1380000.0,Malabata,200,4.0,3.0
Appartement,750000.0,Mesnana,60,4.0,3.0
Bureau,3750000.0,Centre,125,2.0,1.0
Appartement,2600000.0,Ahlane,108,1.0,1.0
L/C,200000.0,Achakar,84,1.0,1.0
Appartement,2600000.0,Ahlane,108,1.0,1.0
Appartement,1320000.0,Mesnana,165,3.0,3.0
Bureau,1320000.0,Mghogha,80,1.0,1.0
Appartement,3000000.0,Marchane,180,3.0,1.0
Appartement,1250000.0,Marchane,185,4.0,2.0
