,Surface,Address,Price
0,100,Mesnana,1200000
1,250,Tanja Balia,3000000
2,100,Tanja Balia,700000
3,518,Achakar,932400
4,2298,M'nar,2987400
5,1015,Achakar,2537500
6,100,Tanja Balia,850000
7,308,Achakar,1909600
8,24000,M'nar,42000000
9,6857,Casabarata,20571000
10,144,Tanja Balia,1584000
11,1900,Mesnana,5130000
12,1700,Benkirane,25500000
13,120000,Mghogha,132000000
14,14000,Mghogha,11200000
15,2900,Mghogha,9570000
16,17000,Malabata,51000000
17,110,Ahlane,1430000
18,358,Masnana,2506000
19,1252,Achakar,3630800
20,70,Tanja Balia,560000
21,216,Tanja Balia,1020000
22,187,Achakar,411400
23,3000,Achakar,6000000
24,100,Tanja Balia,750000
25,80,Tanja Balia,600000
26,850,M'nar,4675000
27,100,Mghogha,650000
28,1972,M'nar,5916000
29,125,Mesnana,1625000
30,162,Masnana,2349000
31,157,Tanja Balia,2200000
32,94,Ahlane,1071600
33,578,Ahlane,1329400
34,704,M'nar,985600
35,151,Drissia,5285000
36,93,Mesnana,372000
37,120,Mghogha,900000
38,570,Jbel Kbir,3135000
39,405,Achakar,891000
40,101,Tanja Balia,656500
41,77,Tanja Balia,1309000
42,96,Tanja Balia,720000
43,50,Jirrari,120000
44,1840,Mesnana,12880000
45,90,Ahlane,750000
46,72,Tanja Balia,576000
47,100,Tanja Balia,1200000
48,224,Malabata,1700000
49,93,Mghogha,558000
50,412,Malabata,3254800
51,270,Tanja Balia,2316600
52,500,Achakar,250000
53,37000,M'nar,44400000
54,200,Benkirane,120000
55,119,Masnana,1300000
56,107,Tanja Balia,1284000
57,61,Jirrari,122000
58,112,Jirrari,1344000
59,99,Jirrari,680000
60,141,Masnana,2256000
61,150,Tanja Balia,1800000
62,412,Malabata,4326000
63,57,Casabarata,370500
64,112,Jirrari,1344000
65,110,Mghogha,770000
66,105,Tanja Balia,1260000
67,100,Tanja Balia,750000
68,20000,Achakar,17000000
69,71,Tanja Balia,568000
70,216,Tanja Balia,1050000
71,466,Mesnana,10252000
72,64,Mghogha,140000
73,90,Mghogha,900000
74,105,Tanja Balia,1155000
75,134,Ahlane,174200
76,80,Tanja Balia,184000
77,100,Jirrari,680000
78,300,M'nar,2400000
79,270,Tanja Balia,2295000
80,1255,Mesnana,10667500
81,100,Tanja Balia,700000
82,385,M'nar,770000
83,2391,Mesnana,23910000
84,8540,Marchan,37840000
85,104,Tanja Balia,1248000
86,216,Tanja Balia,1050000
87,120,Tanja Balia,840000
88,106,Tanja Balia,424000
89,70,Tanja Balia,560000
90,216,Tanja Balia,1050000
91,140,Malabata,210000
92,144,Tanja Balia,1584000
93,98,Masnana,1274000
94,100,Tanja Balia,269900
95,410000,Achakar,328000000
96,146,Tanja Balia,1168000
97,500,Masnana,5000000
98,3200,Achakar,5600000
99,216,Tanja Balia,1050000
100,70,Tanja Balia,500000
101,216,Tanja Balia,1050000
102,613,Achakar,1348600
103,101,Tanja Balia,1414000
104,100,M'nar,600000
105,70,Tanja Balia,560000
106,70,Tanja Balia,560000
107,120,Jirrari,744000
108,151,Tanja Balia,1510000
109,67,Mghogha,435500
110,70,Tanja Balia,560000
111,1100,Achakar,4290000
112,216,Tanja Balia,1050000
113,70,Tanja Balia,560000
114,70,Tanja Balia,560000
115,2726,Ahlane,21808000
116,70,Tanja Balia,560000
117,2383,Mesnana,14298000
118,2330,M'nar,2796000
119,71,Mghogha,461500
120,1004,Mghogha,6024000
