Unnamed: 0,Price,Address,Surface,chambres,toilettes,Surface_per_room,Year_of_Construction,State
36,2400000,Centre,100,2,1,50,construction neuve,Luxe
42,1340000,Jirrari,90,2,1,45,moins de 5 ans,normal
48,2600000,Ahlane,118,3,2,39.33333333,construction neuve,Luxe
50,2400000,Centre,95,2,1,47.5,construction neuve,Luxe
51,1700000,Marchane,300,4,2,75,construction neuve,Luxe
67,2500000,Moujahidine,108,3,2,36,construction neuve,Luxe
70,3700000,Tanja Balia,101,3,2,33.66666667,construction neuve,Luxe
77,3500000,Ben Dibane,167,3,2,55.66666667,construction neuve,Luxe
82,550000,Val Fleuri,70,2,1,35,plus de 5 ans,simple
102,2800000,Branes 1,116,3,2,38.66666667,construction neuve,Luxe
107,3300000,Jirrari,134,3,2,44.66666667,construction neuve,Luxe
109,3600000,Val Fleuri,100,2,1,50,construction neuve,Luxe
114,2900000,Mghogha,100,2,1,50,construction neuve,Luxe
121,2770000,Branes 1,90,2,1,45,construction neuve,Luxe
133,560000,Marchane,108,3,2,36,plus de 5 ans,simple
137,3400000,Rmilat,148,3,2,49.33333333,construction neuve,Luxe
142,2100000,Marchane,210,3,2,70,construction neuve,Luxe
148,850000,Marchane,60,2,1,30,moins de 5 ans,normal
149,1750000,Charf,172,3,2,57.33333333,construction neuve,Luxe
150,650000,Casabarata,50,2,1,25,moins de 5 ans,normal
152,2500000,Centre,130,3,2,43.33333333,construction neuve,Luxe
160,2200000,Centre,55,2,1,27.5,construction neuve,Luxe
161,1500000,Centre,200,3,2,66.66666667,construction neuve,Luxe
163,750000,Mesnana,60,2,1,30,moins de 5 ans,normal
169,2600000,Ahlane,108,3,2,36,construction neuve,Luxe
170,3800000,Moujahidine,173,3,2,57.66666667,construction neuve,Luxe
176,2600000,Ahlane,108,3,2,36,construction neuve,Luxe
181,1320000,Mesnana,165,3,2,55,moins de 5 ans,normal
184,3000000,Marchane,180,3,2,60,construction neuve,Luxe
188,1300000,Centre,99,2,1,49.5,moins de 5 ans,normal
195,2300000,Jirrari,100,2,1,50,construction neuve,Luxe
197,2500000,Tanja Balia,100,2,1,50,construction neuve,Luxe
198,1250000,Marchane,185,3,2,61.66666667,moins de 5 ans,normal
216,999000,Msala,102,3,2,34,moins de 5 ans,normal
219,2800000,Mghogha,102,3,2,34,construction neuve,Luxe
220,1800000,Mghogha,90,2,1,45,construction neuve,Luxe
229,3500000,Centre,117,3,2,39,construction neuve,Luxe
233,500000,Branes 1,50,2,1,25,plus de 5 ans,simple
236,3000000,Marchane,100,2,1,50,construction neuve,Luxe
238,3800000,Centre,300,4,2,75,construction neuve,Luxe
244,2900000,Ahlane,140,3,2,46.66666667,construction neuve,Luxe
253,3700000,Branes 2,144,3,2,48,construction neuve,Luxe
255,580000,Mghogha,55,2,1,27.5,moins de 5 ans,normal
256,3100000,Branes 2,110,3,2,36.66666667,construction neuve,Luxe
259,1500000,Marchane,200,3,2,66.66666667,construction neuve,Luxe
261,2170000,Tanja Balia,70,2,1,35,construction neuve,Luxe
282,2250000,Souani,214,3,2,71.33333333,construction neuve,Luxe
288,700000,Mesnana,50,2,1,25,moins de 5 ans,normal
289,2450000,Ben Dibane,95,2,1,47.5,construction neuve,Luxe
290,1400000,Branes 1,90,2,1,45,moins de 5 ans,normal
293,1000000,Marchane,115,3,2,38.33333333,moins de 5 ans,normal
304,700000,Marchane,70,2,1,35,moins de 5 ans,normal
311,2700000,Branes 1,100,2,1,50,construction neuve,Luxe
313,1650000,M'Nar,150,3,2,50,construction neuve,Luxe
319,1500000,Achakar,300,4,2,75,construction neuve,Luxe
327,1300000,Mghogha,70,2,1,35,moins de 5 ans,normal
329,1400000,Ben Dibane,97,2,1,48.5,moins de 5 ans,normal
331,1950000,Msala,225,3,2,75,construction neuve,Luxe
336,900000,Moujahidine,90,2,1,45,moins de 5 ans,normal
343,1000000,Mghogha,60,2,1,30,moins de 5 ans,normal
344,1600000,Tanja Balia,50,2,1,25,construction neuve,Luxe
348,1000000,Msala,80,2,1,40,moins de 5 ans,normal
349,3100000,Benkirane,120,3,2,40,construction neuve,Luxe
359,2100000,Centre,100,2,1,50,construction neuve,Luxe
370,564300,Mesnana,54,2,1,27,plus de 5 ans,simple
372,1150000,Val Fleuri,100,2,1,50,moins de 5 ans,normal
373,1100000,Mesnana,140,3,2,46.66666667,moins de 5 ans,normal
374,950000,Branes 1,118,3,2,39.33333333,moins de 5 ans,normal
375,1280000,Malabata,100,2,1,50,moins de 5 ans,normal
376,1100000,Ahlane,200,3,2,66.66666667,moins de 5 ans,normal
377,830000,Val Fleuri,87,2,1,43.5,moins de 5 ans,normal
378,550000,Mghogha,150,3,2,50,plus de 5 ans,simple
379,750000,Drissia,79,2,1,39.5,moins de 5 ans,normal
380,913500,Moujahidine,87,2,1,43.5,moins de 5 ans,normal
381,1850000,Malabata,116,3,2,38.66666667,construction neuve,Luxe
382,1125000,Val Fleuri,90,2,1,45,moins de 5 ans,normal
383,450000,Tanja Balia,57,2,1,28.5,plus de 5 ans,simple
384,902500,Mesnana,113,3,2,37.66666667,moins de 5 ans,normal
385,1850000,Moulay Youssef,110,3,2,36.66666667,construction neuve,Luxe
387,3700000,Mesnana,100,2,1,50,construction neuve,Luxe
388,970000,Branes 2,200,3,2,66.66666667,moins de 5 ans,normal
389,420000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
391,1700000,Malabata,90,2,1,45,construction neuve,Luxe
392,950000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
393,1000000,Malabata,53,2,1,26.5,moins de 5 ans,normal
394,3200000,Iberie,141,3,2,47,construction neuve,Luxe
396,2900000,Malabata,200,3,2,66.66666667,construction neuve,Luxe
397,2400000,Malabata,103,3,2,34.33333333,construction neuve,Luxe
399,2655000,Iberie,177,3,2,59,construction neuve,Luxe
400,1950000,Tanja Balia,70,2,1,35,construction neuve,Luxe
401,710000,Ahlane,64,2,1,32,moins de 5 ans,normal
402,750000,Mesnana,60,2,1,30,moins de 5 ans,normal
403,950000,Mesnana,55,2,1,27.5,moins de 5 ans,normal
404,850000,Drissia,87,2,1,43.5,moins de 5 ans,normal
405,780000,Mesnana,84,2,1,42,moins de 5 ans,normal
406,850000,Ben Dibane,200,3,2,66.66666667,moins de 5 ans,normal
407,400000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
408,1200000,Malabata,87,2,1,43.5,moins de 5 ans,normal
409,1900000,Malabata,90,2,1,45,construction neuve,Luxe
410,1278000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
412,450000,Moujahidine,57,2,1,28.5,plus de 5 ans,simple
413,620000,Mesnana,150,3,2,50,moins de 5 ans,normal
414,2160000,Malabata,153,3,2,51,construction neuve,Luxe
416,400000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
417,972000,Malabata,81,2,1,40.5,moins de 5 ans,normal
418,860000,Ahlane,87,2,1,43.5,moins de 5 ans,normal
420,3350000,Branes 2,136,3,2,45.33333333,construction neuve,Luxe
421,950000,Moujahidine,87,2,1,43.5,moins de 5 ans,normal
422,1270000,Jirrari,136,3,2,45.33333333,moins de 5 ans,normal
423,1620000,Jirrari,178,3,2,59.33333333,construction neuve,Luxe
426,1080000,Tanja Balia,90,2,1,45,moins de 5 ans,normal
427,1440000,Tanja Balia,120,3,2,40,moins de 5 ans,normal
428,245000,Mghogha,51,2,1,25.5,plus de 5 ans,simple
429,390000,Achakar,100,2,1,50,plus de 5 ans,simple
430,330000,Tanja Balia,50,2,1,25,plus de 5 ans,simple
431,870000,Tanja Balia,70,2,1,35,moins de 5 ans,normal
432,270000,El Mers 2,50,2,1,25,plus de 5 ans,simple
433,1350000,Benkirane,80,2,1,40,moins de 5 ans,normal
434,440000,Mesnana,100,2,1,50,plus de 5 ans,simple
435,1000000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
436,690000,Moujahidine,79,2,1,39.5,moins de 5 ans,normal
437,1000000,Malabata,54,2,1,27,moins de 5 ans,normal
438,330000,Achakar,55,2,1,27.5,plus de 5 ans,simple
439,630000,Val Fleuri,100,2,1,50,moins de 5 ans,normal
441,3200000,Iberie,220,3,2,73.33333333,construction neuve,Luxe
442,750000,Mesnana,60,2,1,30,moins de 5 ans,normal
443,1050000,Moulay Youssef,200,3,2,66.66666667,moins de 5 ans,normal
446,850000,Mesnana,140,3,2,46.66666667,moins de 5 ans,normal
447,1270000,Val Fleuri,200,3,2,66.66666667,moins de 5 ans,normal
448,350000,El Mers 1,123,3,2,41,plus de 5 ans,simple
449,1950000,Castilla,200,3,2,66.66666667,construction neuve,Luxe
450,2635000,Iberie,155,3,2,51.66666667,construction neuve,Luxe
